portfolio_id,date,value
1,2018-01-01,10000.89418057926
1,2018-01-02,9865.24278119402
1,2018-01-03,9927.179307728158
1,2018-01-04,9952.128280763083
1,2018-01-05,9973.327809121482
1,2018-01-06,9810.007807863407
1,2018-01-07,9965.668194141275
1,2018-01-08,9942.410458567152
1,2018-01-09,10012.741986216672
1,2018-01-10,9940.813062756897
1,2018-01-11,9995.983596563032
1,2018-01-12,9928.03556941591
1,2018-01-13,9877.916016677493
1,2018-01-14,10021.079501368573
1,2018-01-15,10006.058312705007
1,2018-01-16,10027.587214233528
1,2018-01-17,10127.825579452932
1,2018-01-18,10171.64663706987
1,2018-01-19,10175.083081868115
1,2018-01-20,10198.122814911518
1,2018-01-21,10346.929122561929
1,2018-01-22,10346.734945505266
1,2018-01-23,10376.47133601693
1,2018-01-24,10459.549002293046
1,2018-01-25,10547.627542702785
1,2018-01-26,10629.09306150289
1,2018-01-27,10713.198963916357
1,2018-01-28,10620.510903077153
1,2018-01-29,10725.16968958077
1,2018-01-30,10639.428824385079
1,2018-01-31,10657.629255630996
1,2018-02-01,10612.803578557103
1,2018-02-02,10598.615105770577
1,2018-02-03,10636.2299115839
1,2018-02-04,10656.95118603453
1,2018-02-05,10673.180923203703
1,2018-02-06,10786.784677963607
1,2018-02-07,10836.451033966363
1,2018-02-08,10834.995712762511
1,2018-02-09,10904.20451773819
1,2018-02-10,10981.435272478035
1,2018-02-11,10866.967353264827
1,2018-02-12,10904.8564893289
1,2018-02-13,11000.231487938061
1,2018-02-14,10987.170697206519
1,2018-02-15,11097.451001537751
1,2018-02-16,11059.652043614115
1,2018-02-17,11056.276137853838
1,2018-02-18,11043.124895857603
1,2018-02-19,11042.209555244395
1,2018-02-20,10964.525686263272
1,2018-02-21,10868.093363546554
1,2018-02-22,10971.015834527181
1,2018-02-23,10963.67226566757
1,2018-02-24,10875.124216765375
1,2018-02-25,10735.140705298978
1,2018-02-26,10688.20008384363
1,2018-02-27,10587.48772910859
1,2018-02-28,10692.625108051338
1,2018-03-01,10790.05487441967
1,2018-03-02,10764.995359417773
1,2018-03-03,10910.692066050064
1,2018-03-04,10966.669283767415
1,2018-03-05,10929.266109616823
1,2018-03-06,10779.96700608522
1,2018-03-07,10926.12160817487
1,2018-03-08,10868.263205129513
1,2018-03-09,10760.698175618829
1,2018-03-10,10825.165151495787
1,2018-03-11,11005.360417450898
1,2018-03-12,11130.23168877129
1,2018-03-13,11184.628686311944
1,2018-03-14,11240.226012567991
1,2018-03-15,11285.17593602392
1,2018-03-16,11341.60777290462
1,2018-03-17,11376.503093786989
1,2018-03-18,11377.57085120849
1,2018-03-19,11402.05142797594
1,2018-03-20,11363.21017139399
1,2018-03-21,11357.219689616175
1,2018-03-22,11237.030616264572
1,2018-03-23,11227.921082036655
1,2018-03-24,11168.785278825468
1,2018-03-25,11087.334692683322
1,2018-03-26,11108.89682646653
1,2018-03-27,11213.120474014888
1,2018-03-28,11315.567941243682
1,2018-03-29,11186.909854034182
1,2018-03-30,11124.933754095202
1,2018-03-31,11212.49742109163
1,2018-04-01,11134.895622902131
1,2018-04-02,11137.768717721348
1,2018-04-03,11177.419385971818
1,2018-04-04,11100.746451757825
1,2018-04-05,11130.015383500917
1,2018-04-06,11053.082220487544
1,2018-04-07,11027.517606927893
1,2018-04-08,11043.003063085866
1,2018-04-09,10914.577567047052
1,2018-04-10,10979.907492136614
1,2018-04-11,10993.998875604031
1,2018-04-12,11016.207988639651
1,2018-04-13,11026.6220536951
1,2018-04-14,11124.869449985827
1,2018-04-15,11143.708975224949
1,2018-04-16,11158.069930201833
1,2018-04-17,11148.987736599685
1,2018-04-18,11202.85554036622
1,2018-04-19,11192.624611612368
1,2018-04-20,11209.371267651306
1,2018-04-21,11130.54981319577
1,2018-04-22,11108.7045011647
1,2018-04-23,11033.547869245574
1,2018-04-24,11173.726191964373
1,2018-04-25,11085.765580889925
1,2018-04-26,11042.7767534674
1,2018-04-27,10997.730017959415
1,2018-04-28,11035.305240753847
1,2018-04-29,11017.803379255307
1,2018-04-30,11094.592520723674
1,2018-05-01,11049.41705596984
1,2018-05-02,11052.115458850958
1,2018-05-03,11021.146959172107
1,2018-05-04,11184.526170685602
1,2018-05-05,11088.891702398769
1,2018-05-06,11137.583244596584
1,2018-05-07,11171.908112403264
1,2018-05-08,11204.013812334048
1,2018-05-09,11195.476632563325
1,2018-05-10,11186.9825110205
1,2018-05-11,11165.269944420575
1,2018-05-12,11152.155217794167
1,2018-05-13,11244.51597220325
1,2018-05-14,11400.052526357631
1,2018-05-15,11356.726964067766
1,2018-05-16,11288.001789871778
1,2018-05-17,11283.594851965161
1,2018-05-18,11480.678452283999
1,2018-05-19,11451.94333418434
1,2018-05-20,11585.481167656864
1,2018-05-21,11728.391822574893
1,2018-05-22,11694.851190966294
1,2018-05-23,11759.197624765706
1,2018-05-24,11848.920120018287
1,2018-05-25,11846.128324368208
1,2018-05-26,11834.587846385986
1,2018-05-27,11798.44811399138
1,2018-05-28,11710.173111367356
1,2018-05-29,11666.528669452553
1,2018-05-30,11605.312625883518
1,2018-05-31,11593.052960804971
1,2018-06-01,11545.246572211225
1,2018-06-02,11544.251673713345
1,2018-06-03,11440.760474255268
1,2018-06-04,11485.127373059218
1,2018-06-05,11550.490820461078
1,2018-06-06,11406.849398319297
1,2018-06-07,11454.285949118479
1,2018-06-08,11547.846872872373
1,2018-06-09,11457.835768463741
1,2018-06-10,11567.165778701115
1,2018-06-11,11611.623304270177
1,2018-06-12,11563.152901605363
1,2018-06-13,11565.153562491429
1,2018-06-14,11600.429872020566
1,2018-06-15,11630.785144882744
1,2018-06-16,11682.571008758816
1,2018-06-17,11603.569079156876
1,2018-06-18,11642.000097892189
1,2018-06-19,11541.03014623827
1,2018-06-20,11531.669961456791
1,2018-06-21,11441.699003672418
