date,stock_index,bond_index,real_estate_index,commodities_index,crypto_index,cash_index,interest_rate,inflation_rate,gdp_growth_rate,unemployment_rate
2015-01-01,100.54821136207784,99.95650936534005,100.12533210568326,100.18037600795004,100.55108937355683,100.03363764433671,0.0301350248067226,0.019941902515911863,0.024877182898267687,0.049131345958611496
2015-01-02,100.45950234093688,99.78840391440687,100.85247064450662,99.95962255979643,101.77871575105743,100.07019669368825,0.031204272820755767,0.019916349688230563,0.026094702168516587,0.05127674893359413
2015-01-03,101.16284750042854,99.72215477771914,100.51508330634309,100.74190442039396,99.50937742857863,100.0265160685179,0.030073807655915958,0.01965738586039224,0.02687781112050162,0.04985172618915374
2015-01-04,102.76675116428946,100.16746754549708,99.93905911856386,101.95596661863895,99.69375270773475,100.04230133505618,0.02793485301660642,0.019877744625919586,0.030517611317434332,0.04547043258249982
2015-01-05,102.5776768707062,99.44254446008249,100.12135649760229,101.49906243853953,100.96552318206398,100.05081697359839,0.032613055117995504,0.020374257292360205,0.025467491547526762,0.05133873289121457
2015-01-06,102.38896725340125,99.84419599448802,99.07969802252585,101.85234814345961,95.92682936504542,100.07691285594522,0.029039081958641657,0.020119955707595692,0.02359990538471367,0.05072914503505494
2015-01-07,104.07076425543762,99.96548749509513,98.93836894214164,102.39872537190715,98.74529664765308,100.09275168358423,0.02968976877345115,0.0197008392006516,0.035928416651525956,0.0437922100872765
2015-01-08,104.92496132064424,99.62408338604693,99.11366792162714,103.28371676967916,99.67206698273662,100.1217677564645,0.03126169610384542,0.01970684016659984,0.029402628890169744,0.0459040468952857
2015-01-09,104.4857498173559,99.32308280229007,98.98295275817915,102.51905145621143,100.87375431392734,100.11618776566232,0.030722409043597215,0.019698243468289262,0.0233719494285687,0.048452790584661606
2015-01-10,105.10672864118804,99.84382132008182,98.09995769096828,103.65265028719566,100.39625145450033,100.12913407211659,0.028441592566939625,0.02004952330412537,0.029010041727861563,0.0512583599373356
2015-01-11,104.67309580370153,99.58092773887493,99.07250967686969,102.7861817560457,97.36209572235207,100.07768950015206,0.03072510606501871,0.01968076481841181,0.022384968408797275,0.050793418582177945
2015-01-12,104.23884188726922,99.2568173781539,99.16382019081266,102.91968423459213,98.22255628812346,100.07168965834164,0.030682271331000873,0.01951937826590458,0.025183110624184865,0.0443920390572003
2015-01-13,104.54362468678748,99.61597564636865,100.04900787152484,103.10612231382751,98.23538068109326,100.15132002437323,0.029511003303424283,0.018875067294124526,0.027958319519590994,0.04991717934386107
2015-01-14,102.61371958644841,99.73714830410606,99.92300377379986,101.64191919793797,97.81115425994743,100.1773030643087,0.02892917309763361,0.01928756238498807,0.020053947136927965,0.05634149494298796
2015-01-15,100.90933744342767,99.47679806371349,99.42661707815355,100.53028684281531,99.2604288894126,100.18627328965263,0.03196457410478913,0.019362725773485082,0.017418709607250976,0.05129161813187812
2015-01-16,100.39371335847078,99.56137683572584,99.61720999559228,100.40458486842856,100.50889652553639,100.29132972254658,0.030183718626739096,0.019223695899290842,0.02050538337476044,0.04987207017105653
2015-01-17,99.4317300125702,99.27532478279348,99.51816775767493,99.41193854972721,103.71838685444983,100.23313577079284,0.029974189647925083,0.018827014455713487,0.019928366240257234,0.0511359152918814
2015-01-18,99.7945678492994,99.62364268273004,98.84704439575074,99.37942577684632,104.18462843969174,100.18756734111017,0.028837177576674363,0.018457871638260313,0.025893728298435628,0.04742272262062961
2015-01-19,98.94196941174368,99.96135143652293,99.75252361326964,99.02155137378953,102.73925860386505,100.28342812396782,0.028900493173662372,0.01858215170819773,0.024902326899618528,0.05499962394997088
