profile_id,window_id,age_numeric,income,education_numeric,job_sector_numeric,risk_tolerance,investment_goal_numeric,investment_horizon,liquidity_needs,stock_mean_return,stock_volatility,bond_mean_return,bond_volatility,interest_rate_mean,inflation_rate_mean,unemployment_rate_mean
522,0,3,44148,3,5,0.54,0,14,0.43,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
738,0,1,27392,3,5,0.42,2,4,0.54,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
741,0,0,4644,0,4,0.9,2,5,0.66,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
661,0,2,161176,1,0,0.3,3,22,0.11,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
412,0,3,37978,2,0,0.26,1,12,0.67,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
679,0,0,20977,2,6,0.46,4,17,0.47,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
627,0,0,16582,0,5,0.58,1,18,0.28,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
514,0,0,67916,3,3,0.2,3,19,0.4,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
860,0,3,13314,0,8,0.36,0,16,0.6,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
137,0,5,19579,1,5,0.32,1,16,0.44,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
812,0,0,982,0,3,0.32,4,11,0.43,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
77,0,1,9670,0,3,0.38,0,29,0.67,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
637,0,1,34720,1,4,0.23,4,24,0.54,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
974,0,0,1348519,3,1,0.64,1,6,0.24,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
939,0,3,43350,2,4,0.37,0,15,0.9,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
900,0,2,868821,3,2,0.67,2,4,0.48,-0.0005113801688695365,0.009369230498457132,0.00018191708390097628,0.003288575565230815,0.03004520885815908,0.017990453875782273,0.050048414649948775
